pin,slack
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_69:A,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_69:B,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_69:C,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_69:IPA,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_69:IPB,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_169:A,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_169:B,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_169:C,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_169:IPA,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_104:A,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_104:B,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_104:C,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_104:IPA,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_104:IPB,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_269:A,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_269:B,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_269:C,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_269:IPA,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_269:IPB,
COREAPBLSRAM_0/genblk1_genblk1_lsram_1024to70656x16_block0/block1/CFG_8:B,6622
COREAPBLSRAM_0/genblk1_genblk1_lsram_1024to70656x16_block0/block1/CFG_8:C,6671
COREAPBLSRAM_0/genblk1_genblk1_lsram_1024to70656x16_block0/block1/CFG_8:IPB,6622
COREAPBLSRAM_0/genblk1_genblk1_lsram_1024to70656x16_block0/block1/CFG_8:IPC,6671
COREAPBLSRAM_0/genblk1_genblk1_lsram_1024to70656x16_block0/block1/CFG_23:B,6630
COREAPBLSRAM_0/genblk1_genblk1_lsram_1024to70656x16_block0/block1/CFG_23:C,
COREAPBLSRAM_0/genblk1_genblk1_lsram_1024to70656x16_block0/block1/CFG_23:IPB,6630
COREAPBLSRAM_0/genblk1_genblk1_lsram_1024to70656x16_block0/block1/CFG_23:IPC,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_167:A,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_167:B,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_167:C,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_167:IPB,
CoreAPB3_0/u_mux_p_to_b3/PRDATA_xx_mm_ns[3]:A,3306
CoreAPB3_0/u_mux_p_to_b3/PRDATA_xx_mm_ns[3]:B,2970
CoreAPB3_0/u_mux_p_to_b3/PRDATA_xx_mm_ns[3]:C,7344
CoreAPB3_0/u_mux_p_to_b3/PRDATA_xx_mm_ns[3]:D,4703
CoreAPB3_0/u_mux_p_to_b3/PRDATA_xx_mm_ns[3]:Y,2970
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_278:A,
DMAAPB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_278:B,
